Layer,层级,
AreaFraction,区域占比,
Keyboard,键盘,
Texture2D,2D纹理,
Texture3D,3D纹理,
TextureCube,立方体纹理,
Present,输出,
Output,输出,
PreviousFrame,前一帧,
ShaderLanguageTip,切换语言将会丢弃当前代码！是否继续?,
R8_UNORM,R8_UNORM,
R8G8B8A8_UNORM,R8G8B8A8_UNORM,
B8G8R8A8_UNORM,B8G8R8A8_UNORM,
R32G32B32A32_FLOAT,R32G32B32A32_FLOAT,
GLSL,GLSL,
HLSL,HLSL,
Linear,Linear,
Nearest,Nearest,
Mipmap,Mipmap,
Clamp,裁切,
Repeat,重复,
QuickInfo,快速信息,
LocalVar,局部变量,
Var,变量,
Param,形参,
Macro,宏,
Func,函数,
FlipY,翻转Y,
RestartRequiredTip,重启后生效,
InspectingPreview,正在检视 {0} ({1}:{2})...,
CreateCubemap,创建Cubemap,
FaceRightX,右 (+X),
FaceLeftX,左 (-X),
FaceTopY,上 (+Y),
FaceBottomY,下 (-Y),
FaceFrontZ,前 (+Z),
FaceBackZ,后 (-Z),
None,无,
SelectImage,选择...,
SelectFaceImage,选择面贴图,
SelectSourceImage,选择源贴图,
CreateTexture3D,创建Texture 3D,
Columns,列,
Rows,行,
TexturePreview,纹理预览,
TexturePreview3DView,3D视图,
ModelPreview,模型预览,
GenerateMipmap,生成Mipmap,
EntryPoint,入口点,
Bindings,绑定,
RenderState,渲染状态,
Rasterizer,光栅化,
FillMode,填充模式,
CullMode,剔除模式,
Blend,混合,
Enable,启用,
SrcFactor,源因子,
DestFactor,目标因子,
BlendOp,混合操作,
Depth,深度,
DepthTest,深度测试,
CompareMode,比较模式,
Vertex,顶点,
Pixel,像素,
VertexInput,顶点输入,
BuiltInModel,内建模型矩阵,
BuiltInView,内建观察矩阵,
BuiltInProj,内建投影矩阵,
BuiltInViewProj,内建观察投影矩阵,
BuiltInMVP,内建模型观察投影矩阵,
BuiltInPosition,内建位置,
BuiltInNormal,内建法线,
BuiltInUV,内建UV,
BuiltInColor,内建颜色,
BuiltInTangent,内建切线,
WireFrame,线框,
Solid,实体,
Front,正面,
Back,背面,
Zero,零,
One,一,
SrcColor,源颜色,
InvSrcColor,1-源颜色,
DestColor,目标颜色,
InvDestColor,1-目标颜色,
SrcAlpha,源Alpha,
InvSrcAlpha,1-源Alpha,
DestAlpha,目标Alpha,
InvDestAlpha,1-目标Alpha,
Add,相加,
Substract,相减,
Min,最小值,
Max,最大值,
Less,小于,
Equal,等于,
LessEqual,小于等于,
NotEqual,不等于,
Always,始终,
Greater,大于,
GreaterEqual,大于等于,
Never,从不,
Point,点采样,
Bilinear,双线性,
Trilinear,三线性,
Wrap,环绕,
Mirror,镜像,
VsNotSpecified,未指定顶点着色器,
VsCompileFailed,顶点着色器编译失败,
PsNotSpecified,未指定像素着色器,
PsCompileFailed,像素着色器编译失败,
UbLayoutConflict,顶点着色器和像素着色器在相同绑定位置对统一缓冲区'{0}'和'{1}'声明了不同的布局,
SemanticLinkageError,像素着色器输入语义'{0}'未在顶点着色器输出中提供,
ShaderLanguageMismatch,顶点着色器和像素着色器必须使用相同的着色语言,
